
---------- Begin Simulation Statistics ----------
simSeconds                                   1.188894                       # Number of seconds simulated (Second)
simTicks                                 1188894266307                       # Number of ticks simulated (Tick)
finalTick                                1188894266307                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   4680.04                       # Real time elapsed on the host (Second)
hostTickRate                                254034899                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2296664                       # Number of bytes of host memory used (Byte)
simInsts                                   1000000000                       # Number of instructions simulated (Count)
simOps                                     1160112256                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   213673                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     247885                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        713193922                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1617679982                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     6702                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1438538820                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                1327623                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            457574323                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined        1202524999                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                6163                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           713186112                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.017059                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.059588                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 253634557     35.56%     35.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 100952850     14.16%     49.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  94866061     13.30%     63.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  80377685     11.27%     74.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  89551020     12.56%     86.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  41769811      5.86%     92.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  32451051      4.55%     97.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  11703264      1.64%     98.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   7879813      1.10%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             713186112                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 2626079      5.35%      5.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      5.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      5.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      5.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      5.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      5.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      5.35% # attempts to use FU when none available (Count)
